id,ingredients
0647878250771,
0761720056301,Corn oil.
0027815179936,Turkey breast
0027815179936, white turkey
0027815179936, turkey broth
0027815179936, honey
0027815179936, contains 2% or less of potassium lactate
0027815179936, dextrose
0027815179936, salt
0027815179936, sodium phosphates
0027815179936, sodium diacetate
0027815179936, potassium chloride
0027815179936, natural flavor
0027815179936, sodium nitrite
0027815179936, sodium erythorbate.
0893811000976,
0072655001107,"cooked rice (water, white rice)"
0072655001107," seasoned cooked beef and binder product (beef, water, contains 2% or less of: caramel color, dextrose, seasoning [natural flavor, salt, maltodextrin, dried whey, dried cauliflower, sesame oil], modified corn starch, potassium chloride, potassium phosphate, salt, sodium phosphates, spice extractives)"
0072655001107, carrots
0072655001107, water
0072655001107, broccoli
0072655001107, water chestnuts
0072655001107, brown sugar
0072655001107," soy sauce (water, wheat, soybeans, salt, alcohol, vinegar, lactic acid)"
0072655001107, contains 2% or less of: scallions
0072655001107, pineapple juice concentrate
0072655001107, rice vinegar
0072655001107, modified corn starch
0072655001107, ginger puree
0072655001107, garlic
0072655001107, sesame oil
0072655001107, onions
0072655001107, canola oil
0072655001107," cooking wine (white wine, natural flavor, salt)"
0072655001107, sugar
0072655001107, chardonnay wine
0072655001107, ginger
0072655001107," chili paste (red chili peppers, distilled vinegar, salt, xanthan gum)"
0072655001107," butter (cream, salt)"
0072655001107, olive oil
0072655001107, contains: milk
0072655001107, wheat
0072655001107, soy
0072655001107,
0602652171208,"whole grain blend (oats, brown rice, oat flour, millet, amaranth, buckwheat, quinoa)"
0602652171208, dried cane syrup
0602652171208, canola oil
0602652171208, chia seeds
0602652171208, maple syrup
0602652171208, molasses
0602652171208, brown rice syrup
0602652171208, natural flavor
0602652171208, sea salt
0602652171208, vitamin e (to maintain freshness)
0602652171208,
0072400060557,
0072655454422,"Cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white)"
0072655454422," sauce (water, parmesan cheese [part skim milk, cheese culture, salt, enzymes], soybean oil, modified corn starch, nonfat dry milk, contains 2% or less of: alfredo cheese blend [parmesan, cheddar and romano cheese from cow's milk {milk, cheese culture, salt, enzymes}, water, nonfat dry milk, salt, disodium phosphate, sodium citrate], flavorings, potassium chloride, sea salt, xanthan gum, guar gum)"
0072655454422," cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring)"
0072655454422, broccoli. contains: egg
0072655454422, milk
0072655454422, soy
0072655454422, wheat.
0097467044005,
0011110045249,nedents tomato puree nater tomato pastel water we adr sugar contains less than 2% of sombean ol salt n dalorce sea salt natural flavor ctrcaco crcacc containg wheat 1stauted by the kroger co ocn ohio 452 0 serving instructions of water or milk f prefered 2% stovetop
0867169000162,
0867657000087,
0049100333830,WHOLE WHEAT FLOUR
0049100333830, WHEAT FLOUR BLEACHED
0049100333830, WATER
0049100333830, WHEAT GLUTEN
0049100333830, BROWN SUGAR
0049100333830, WHEAT BRAN
0049100333830, HIGH FRUCTOSE CORN SYRUP
0049100333830, CONTAINS 2% OR LESS OF THE FOLLOWING: CRUSHED WHEAT
0049100333830, CRACKED RYE
0049100333830, CORNMEAL
0049100333830, OATS
0049100333830, FLAKED BARLEY
0049100333830, CRACKED TRITICALE (WHEAT)
0049100333830, DEFATTED FLAXSEED MEAL
0049100333830, YEAST
0049100333830, HONEY
0049100333830, WHEY (MILK)
0049100333830, CULTURED WHEY (FROM MILK)
0049100333830, SALT
0049100333830," DOUGH CONDITIONERS (SOY LECITHIN, ETHOXYLATED MONO AND DIGLYCERIDES, SODIUM STEAROYL LACTYLATE, ASCORBIC ACID)"
0049100333830, MALTED BARLEY FLOUR
0049100333830, YEAST NUTRIENT (AMMONIUM SULFATE)
0049100333830, CALCIUM SULFATE (CALCIUM)
0049100333830, NIACIN
